date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score,Sentiment,Sentiment Score
2022-11-07 01:09:19,ETH_USD,1626.8064304933644,1629.3876572109266,0.16%,21174006976.119827,22466285138.077408,6.1%,196264485041.5907,196555419974.86633,0.15%,default,
2022-11-11 10:40:18,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 16:14:08,ETH_USD,1301.5538803074423,1278.9811581946765,0%,24039423467.45047,25555855819.178,6.31%,156380990539.85645,154206844727.66013,0%,default,
2022-11-11 10:47:58,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 10:55:07,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 10:56:15,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 10:58:55,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 11:00:56,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 11:57:20,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 12:02:39,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
